"PrimaryKey","GAP","IAG","OTHER","SEEDED","WEED"
"201A",46.67,33.33,35,96.67,6.67
"201G",80,23.33,23.33,83.33,25
"202A",75,5,11.67,95,6.67
"202G",75,5,0,96.67,1.67
"203A",70,53.33,13.33,83.33,16.67
"203G",70,61.67,1.67,85,16.67
"204A",66.67,93.33,0,41.67,25
"204G",66.67,31.67,3.33,95,3.33
"205A",85,41.67,8.33,65,6.67
"205G",81.67,6.67,0,76.67,3.33
"206A",50,0,0,100,0
"206G",45,1.67,3.33,100,3.33
"207A",86.67,10,3.33,80,0
"207G",100,1.67,0,13.33,65
"208A",76.67,55,0,86.67,1.67
"208G",88.33,23.33,0,80,16.67
"209A",25,10,95,56.67,1.67
"209G",31.67,38.33,6.67,95,0
"210A",48.33,20,70,66.67,0
"210G",90,21.67,0,66.67,1.67
"211A",86.67,1.67,0,91.67,0
"211G",61.67,30,3.33,95,5
"212A",83.33,58.33,0,58.33,18.33
"212G",73.33,76.67,0,61.67,13.33
"213A",68.33,0,3.33,93.33,0
"213G",70,55,0,81.67,8.33
"214A",56.67,31.67,3.33,96.67,11.67
"214G",80,6.67,0,98.33,5
"215A",71.67,25,0,83.33,0
"215G",100,0,0,58.33,6.67
"216A",78.33,81.67,0,11.67,25
"216G",96.67,5,0,63.33,0
"217A",86.67,33.33,11.67,58.33,6.67
"217G",85,8.33,0,78.33,6.67
"218A",85,45,1.67,70,1.67
"218G",90,31.67,0,78.33,13.33
"219A",68.33,86.67,0,45,8.33
"219G",86.67,28.33,1.67,58.33,23.33
"220A",75,80,1.67,63.33,6.67
"220G",98.33,6.67,0,61.67,0
"221A",46.67,0,0,93.33,3.33
"221G",48.33,23.33,0,96.67,0
"222A",81.67,66.67,0,43.33,35
"222G",98.33,0,0,53.33,25
"223A",93.33,26.67,1.67,63.33,26.67
"223G",56.67,0,0,11.67,88.33
"224A",63.33,23.33,0,88.33,0
"224G",93.33,21.67,1.67,66.67,18.33
"225A",73.33,28.33,36.67,80,18.33
"225G",55,63.33,0,78.33,5
"226A",18.33,51.67,0,68.33,81.67
"226G",41.67,71.67,5,71.67,26.67
"227A",48.33,8.33,71.67,76.67,31.67
"227G",40,55,68.33,85,6.67
"228A",13.33,81.67,43.33,76.67,28.33
"228G",5,100,11.67,48.33,33.33
"229A",3.33,65,88.33,40,63.33
"229G",30,86.67,41.67,45,51.67
"230A",31.67,45,71.67,76.67,13.33
"230G",25,58.33,73.33,53.33,38.33
"231A",11.67,68.33,78.33,75,26.67
"231G",28.33,58.33,83.33,58.33,21.67
"232A",28.33,41.67,40,90,6.67
"232G",25,93.33,16.67,45,26.67
"233A",8.33,91.67,20,66.67,25
"233G",50,71.67,0,86.67,23.33
"234A",55,0,0,91.67,43.33
"234G",43.33,86.67,3.33,63.33,21.67
"235A",11.67,50,0,100,0
"235G",38.33,48.33,3.33,90,38.33
"236A",15,5,3.33,53.33,96.67
"236G",45,28.33,10,85,50
"237A",43.33,1.67,26.67,91.67,46.67
"237G",40,23.33,13.33,81.67,71.67
"238A",23.33,45,0,98.33,6.67
"238G",73.33,5,0,81.67,40
"239A",45,93.33,0,56.67,20
"239G",93.33,0,0,43.33,61.67
"240A",48.33,43.33,3.33,93.33,43.33
"240G",15,5,0,63.33,95
"241A",20,46.67,1.67,98.33,50
"241G",18.33,21.67,0,70,96.67
"242A",38.33,21.67,0,100,15
"242G",33.33,20,0,75,91.67
"243A",5,98.33,48.33,48.33,15
"243G",70,6.67,25,91.67,1.67
"244A",26.67,53.33,1.67,100,1.67
"244G",90,16.67,0,81.67,33.33
"245A",8.33,78.33,20,100,21.67
"245G",21.67,98.33,0,86.67,43.33
