"length.PrimaryKey","length.total_line_length","length..0.1e.05.","length.NoGap"
"201A",9000,2767,0
"201G",9000,3641,0
"202A",9000,4360,0
"202G",9000,3949,0
"203A",9000,2768,0
"203G",9000,2999,0
"204A",9000,3166,0
"204G",9000,4001,0
"205A",9000,4219,0
"205G",9000,927,0
"206A",9000,3037,0
"206G",9000,2383,0
"207A",9000,5838,0
"207G",9000,4606,0
"208A",9000,5174,0
"208G",9000,5316,0
"209A",9000,1824,0
"209G",9000,1668,0
"210A",9000,2800,0
"210G",9000,6190,0
"211A",9000,5400,0
"211G",9000,2951,0
"212A",9000,5438,0
"212G",9000,4388,0
"213A",9000,4297,0
"213G",9000,3864,0
"214A",9000,3119,0
"214G",9000,3862,0
"215A",9000,3655,0
"215G",9000,6906,0
"216A",9000,2440,0
"216G",9000,6928,0
"217A",9000,5516,0
"217G",9000,5426,0
"218A",9000,4818,0
"218G",9000,4074,0
"219A",9000,3255,0
"219G",9000,4667,0
"220A",9000,4305,0
"220G",9000,6598,0
"221A",9000,3536,0
"221G",9000,1347,0
"222A",9000,3958,0
"222G",9000,6532,0
"223A",9000,5306,0
"223G",9000,1520,0
"224A",9000,4124,0
"224G",9000,5085,0
"225A",9000,3731,0
"225G",9000,2313,0
"226A",9000,1026,0
"226G",9000,4754,0
"227A",9000,2131,0
"227G",9000,2677,0
"228A",9000,1882,0
"228G",9000,794,0
"229A",9000,896,0
"229G",9000,3244,0
"230A",9000,4439,0
"230G",9000,5314,0
"231A",9000,811,0
"231G",9000,1225,-65
"232A",9000,1849,0
"232G",9000,1550,0
"233A",9000,537,0
"233G",9000,1924,0
"234A",9000,2277,0
"234G",9000,2357,0
"235A",9000,2422,0
"235G",9000,2665,0
"236A",9000,1195,0
"236G",9000,3894,0
"237A",9000,3255,0
"237G",9000,3408,0
"238A",9000,2054,0
"238G",9000,4911,0
"239A",9000,1949,0
"239G",9000,5511,0
"240A",9000,3037,0
"240G",9000,2027,0
"241A",9000,1455,0
"241G",9000,1357,0
"242A",9000,2373,0
"242G",9000,2014,0
"243A",9000,694,0
"243G",9000,4833,-24
"244A",9000,2248,0
"244G",9000,4610,0
"245A",9000,1528,0
"245G",9000,1642,0
